BLM input file



File created by R on Wed Sep 14 17:05:36 2022, using 01_Cali_Zn_WQC_Analysis.R by Adam Ryan
Current working directory: C:/Users/AdamRyan/OneDrive - Zinc Saves Kids Inc/Documents/States/California/Analyses












/*
914

T/F  ID_1                 ID_2  Temp   HA  pH                Cu         DOC                Ca         Mg         Na         K          SO4        Cl         DIC        S     
                                degC   %                     mol/L      mgC/L              mol/L      mol/L      mol/L      mol/L      mol/L      mol/L      mol/L      mol/L 
T    USGS-09429490        1182  15     10  8.1               1.574e-08  4                  2.183e-03  1.337e-03  6.525e-03  1.279e-04  3.477e-03  3.596e-03  7.754e-04  1e-20 
T    USGS-09429490        1183  15     10  8.15              1.574e-08  2.6                2.021e-03  1.152e-03  5.220e-03  1.304e-04  3.227e-03  3.385e-03  8.692e-04  1e-20 
T    USGS-09429490        1184  15     10  8.1               1.574e-08  2.7                2.071e-03  1.275e-03  5.220e-03  1.151e-04  3.227e-03  3.385e-03  7.754e-04  1e-20 
T    USGS-09429490        1185  15     10  8.2               1.574e-08  2.5                2.171e-03  1.317e-03  5.655e-03  1.202e-04  3.331e-03  3.385e-03  9.746e-04  1e-20 
T    USGS-09429490        1186  15     10  8.15              1.574e-08  2.4                1.971e-03  1.152e-03  4.350e-03  1.125e-04  2.915e-03  2.821e-03  8.692e-04  1e-20 
T    USGS-09429490        1187  15     10  8.15              3.305e-08  2.7                1.841e-03  1.123e-03  4.480e-03  1.159e-04  2.748e-03  2.634e-03  8.692e-04  1e-20 
T    USGS-09429490        1188  15     10  8.25              1.574e-08  2.5                1.951e-03  1.243e-03  4.872e-03  1.072e-04  2.967e-03  2.905e-03  1.093e-03  1e-20 
T    USGS-09429490        1189  15     10  8.2               1.574e-08  2.5                2.138e-03  1.292e-03  5.307e-03  1.207e-04  3.144e-03  3.413e-03  9.746e-04  1e-20 
T    USGS-09429490        1190  15     10  8.15              1.574e-08  2.6                1.854e-03  1.103e-03  4.071e-03  1.074e-04  2.561e-03  2.423e-03  8.692e-04  1e-20 
T    USGS-09429490        1191  15     10  8.1               1.731e-08  2.4                1.879e-03  1.148e-03  4.141e-03  1.077e-04  2.582e-03  2.479e-03  7.754e-04  1e-20 
T    USGS-09429490        1192  15     10  8.3               2.360e-08  2.6                1.904e-03  1.115e-03  4.332e-03  1.138e-04  2.707e-03  2.601e-03  1.226e-03  1e-20 
T    USGS-09429490        1193  15     10  8.25              2.203e-08  2.8                1.884e-03  1.107e-03  4.232e-03  1.026e-04  2.655e-03  2.578e-03  1.093e-03  1e-20 
T    USGS-09429490        1194  15     10  8.15              3.305e-08  2.6                1.939e-03  1.136e-03  4.698e-03  1.092e-04  2.727e-03  2.680e-03  8.692e-04  1e-20 
T    USGS-09429490        1195  15     10  8.15              3.305e-08  2.8                1.876e-03  1.127e-03  4.393e-03  1.092e-04  2.592e-03  2.536e-03  8.692e-04  1e-20 
T    USGS-09429490        1196  15     10  8.25              2.046e-08  2.6                1.966e-03  1.197e-03  4.959e-03  1.128e-04  2.759e-03  2.764e-03  1.093e-03  1e-20 
T    USGS-10254005        1197  15     10  8                 7.868e-08  30                 1.382e-03  3.614e-03  3.526e-02  4.493e-04  7.033e-03  3.240e-02  6.176e-04  1e-20 
T    USGS-10261500        1198  15     10  8.1               3.147e-08  3.8                8.733e-04  3.250e-04  2.175e-03  1.304e-04  3.956e-04  8.744e-04  7.754e-04  1e-20 
T    USGS-10277400        1199  15     10  7.2               1.574e-07  4                  3.493e-04  8.229e-05  6.525e-04  5.371e-05  1.978e-04  1.241e-04  1.076e-04  1e-20 
