"2.45d, build 2024-03-06"
"SD-simple.dat"
"simple.BLM"
"/S OPTIM.SCR, /W /O2 /A1 /Q /M /G01"
"Site Label","Sample Label","Mode","pH","Dis. Cu","Free Cu","TOrg Cu","Cu","DOC","HA%","T.Ca","T.Mg","T.Na","T.K","T.SO4","T.Cl","T.CO3","T.BL1",
" "," "," "," ","mol/L","mol/L","mol/L","nmol/gw","mg/L"," ","mol/L","mol/L","mol/L","mol/L","mol/L","mol/L","mol/L","mol/L",
"Optim_Cu","101","Speciation",  8.00000,  1.57366E-05,  3.09497E-07,  0.00000E+00,  1.73875E+10,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","102","Speciation",  8.00000,  1.64821E-09,  3.21907E-11,  0.00000E+00,  1.80846E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","103","Speciation",  8.00000,  1.72629E-09,  3.37156E-11,  0.00000E+00,  1.89413E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","104","Speciation",  8.00000,  1.80806E-09,  3.53127E-11,  0.00000E+00,  1.98386E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","105","Speciation",  8.00000,  1.89371E-09,  3.69855E-11,  0.00000E+00,  2.07784E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","106","Speciation",  8.00000,  1.98342E-09,  3.87375E-11,  0.00000E+00,  2.17627E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","107","Speciation",  8.00000,  2.07737E-09,  4.05726E-11,  0.00000E+00,  2.27936E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","108","Speciation",  8.00000,  2.17578E-09,  4.24945E-11,  0.00000E+00,  2.38733E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","109","Speciation",  8.00000,  2.27885E-09,  4.45075E-11,  0.00000E+00,  2.50042E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","110","Speciation",  8.00000,  2.38680E-09,  4.66159E-11,  0.00000E+00,  2.61887E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","111","Speciation",  8.00000,  2.49987E-09,  4.88241E-11,  0.00000E+00,  2.74293E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","112","Speciation",  8.00000,  2.61829E-09,  5.11370E-11,  0.00000E+00,  2.87286E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","113","Speciation",  8.00000,  2.74232E-09,  5.35594E-11,  0.00000E+00,  3.00896E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","114","Speciation",  8.00000,  2.87222E-09,  5.60966E-11,  0.00000E+00,  3.15149E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","115","Speciation",  8.00000,  3.00828E-09,  5.87539E-11,  0.00000E+00,  3.30078E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","116","Speciation",  8.00000,  3.15079E-09,  6.15371E-11,  0.00000E+00,  3.45714E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","117","Speciation",  8.00000,  3.30004E-09,  6.44522E-11,  0.00000E+00,  3.62091E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","118","Speciation",  8.00000,  3.45637E-09,  6.75054E-11,  0.00000E+00,  3.79244E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","119","Speciation",  8.00000,  3.62010E-09,  7.07032E-11,  0.00000E+00,  3.97209E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","120","Speciation",  8.00000,  3.79159E-09,  7.40525E-11,  0.00000E+00,  4.16025E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","121","Speciation",  8.00000,  3.97120E-09,  7.75604E-11,  0.00000E+00,  4.35733E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","122","Speciation",  8.00000,  4.15932E-09,  8.12345E-11,  0.00000E+00,  4.56374E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","123","Speciation",  8.00000,  4.35635E-09,  8.50827E-11,  0.00000E+00,  4.77992E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","124","Speciation",  8.00000,  4.56272E-09,  8.91131E-11,  0.00000E+00,  5.00635E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","125","Speciation",  8.00000,  4.77886E-09,  9.33345E-11,  0.00000E+00,  5.24351E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","126","Speciation",  8.00000,  5.00523E-09,  9.77558E-11,  0.00000E+00,  5.49190E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","127","Speciation",  8.00000,  5.24234E-09,  1.02387E-10,  0.00000E+00,  5.75206E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","128","Speciation",  8.00000,  5.49067E-09,  1.07237E-10,  0.00000E+00,  6.02454E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","129","Speciation",  8.00000,  5.75077E-09,  1.12317E-10,  0.00000E+00,  6.30993E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","130","Speciation",  8.00000,  6.02319E-09,  1.17637E-10,  0.00000E+00,  6.60883E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","131","Speciation",  8.00000,  6.30851E-09,  1.23210E-10,  0.00000E+00,  6.92190E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","132","Speciation",  8.00000,  6.60735E-09,  1.29046E-10,  0.00000E+00,  7.24980E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","133","Speciation",  8.00000,  6.92035E-09,  1.35159E-10,  0.00000E+00,  7.59323E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","134","Speciation",  8.00000,  7.24817E-09,  1.41562E-10,  0.00000E+00,  7.95293E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","135","Speciation",  8.00000,  7.59152E-09,  1.48268E-10,  0.00000E+00,  8.32967E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","136","Speciation",  8.00000,  7.95114E-09,  1.55292E-10,  0.00000E+00,  8.72425E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","137","Speciation",  8.00000,  8.32779E-09,  1.62648E-10,  0.00000E+00,  9.13753E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","138","Speciation",  8.00000,  8.72229E-09,  1.70353E-10,  0.00000E+00,  9.57038E+06,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","139","Speciation",  8.00000,  9.13547E-09,  1.78423E-10,  0.00000E+00,  1.00237E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","140","Speciation",  8.00000,  9.56823E-09,  1.86875E-10,  0.00000E+00,  1.04986E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","141","Speciation",  8.00000,  1.00215E-08,  1.95727E-10,  0.00000E+00,  1.09959E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
"Optim_Cu","142","Speciation",  8.00000,  1.04962E-08,  2.04999E-10,  0.00000E+00,  1.15168E+07,  5.00000E+02,  1.00000E+01,  8.58857E-03,  0.04413,  0.39182,  8.52943E-03,  0.02359,  0.45600,  1.71257E-03,  1.99714E-03,
